##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
10.81530, 27.38431
10.82370, 38.05792
10.83200, 3.000977
10.84040, 30.73349
10.84870, 22.99686
10.85710, 17.58829
10.86550, 5.209106
10.87380, 12.77930
10.88220, 7.547607
10.89050, 22.26166
10.89890, 17.05579
10.90720, 11.65366
10.91560, 3.331024
10.92390, 2.747955
10.93230, 12.06549
10.94070, 9.372406
10.94900, 15.57886
10.95740, 20.43552
10.96570, 18.12161
10.97410, 34.60779
10.98240, 16.21301
10.99080, 15.44766
10.99910, 24.54944
11.00750, 13.75656
11.01590, 6.588501
11.02420, 7.181610
11.03260, 4.880646
11.04090, 12.26593
11.04930, 29.90717
11.05760, 5.297882
11.06600, 3.938019
11.07440, 2.981628
11.08270, 15.97025
11.09110, 18.29828
11.09940, 1.941010
11.10780, 20.73770
11.11610, 24.03391
11.12450, 27.71948
11.13280, 13.57397
11.14120, 15.31949
11.14960, 13.31949
11.15790, 19.89166
11.16630, 13.88492
11.17460, 6.139740
11.18300, 14.66391
11.19130, 19.11755
11.19970, 5.940643
11.20800, 20.47311
11.21640, 5.554993
11.22480, 39.45630
11.23310, 4.577057
11.24150, 18.13715
11.24980, 25.88666
11.25820, 38.06229
11.26650, 35.96887
11.27490, 21.61847
11.28330, 4.774200
11.29160, 13.08569
11.30000, 6.301666
11.30830, 0.5043640
11.31670, 14.60141
11.32500, 11.45609
11.33340, 0.9406130
11.34170, 13.19278
11.35010, 14.53561
11.35850, 3.840515
11.36680, 7.902069
11.37520, 17.58459
11.38350, 1.023590
11.39190, 7.823517
11.40020, 37.11127
11.40860, 16.34076
11.41690, 12.24438
11.42530, 12.99750
11.43370, 23.44003
11.44200, 20.51242
11.45040, 9.797485
11.45870, 24.88007
11.46710, 19.43134
11.47540, 9.522095
11.48380, 8.722229
11.49220, 10.83182
11.50050, 20.88156
11.50890, 8.066864
11.51720, 11.72546
11.52560, 6.853424
11.53390, 4.867035
11.54230, 19.56555
11.55060, 5.783783
11.55900, 9.821381
11.56740, 15.22833
11.57570, 10.93475
11.58410, 22.91656
11.59240, 15.13202
11.60080, 16.84778
